preset_id,version,tier,family,subfamily,display_name,short_label,description,body_yaw_deg,torso_yaw_deg,face_yaw_deg,face_pitch_deg,gaze_target,weight_distribution,left_arm,right_arm,left_hand,right_hand,left_leg,right_leg,movement,framing,camera_height,camera_yaw_deg,camera_pitch_deg,camera_roll_deg,lens_min_mm,lens_max_mm,subject_scale_pct,crop_rule,hands_visibility,feet_visibility,required_source_views,compatible_products,incompatible_products,age_groups,pose_control_mode,keypoint_strictness,garment_priority,fabric_motion,use_cases,aspect_ratios,qa_rule_codes,risk_level,fallback_preset_id,status,sort_order
ML-POSE-CAT-011,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Ankles Crossed — Right,Ankles Crossed Right,Front stance with right ankle crossing in front.,0,0,0,0,CAMERA,BACK_70,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,SUPPORT,CROSS_FRONT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,11
ML-POSE-CAT-012,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Feet Together,Feet Together,Straight front stance with feet close for slim silhouettes.,0,0,0,0,CAMERA,EVEN,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,TOGETHER,TOGETHER,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,12
ML-POSE-CAT-013,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Soft A-Stance,Soft A-Stance,Feet slightly apart with relaxed knees for everyday apparel.,0,0,0,0,CAMERA,EVEN,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,SLIGHT_OUT,SLIGHT_OUT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,13
ML-POSE-CAT-014,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Hands at Sides,Hands at Sides,Front catalog pose with hands at sides.,0,0,0,0,CAMERA,EVEN,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,14
ML-POSE-CAT-015,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Both Hands in Pockets,Both Pockets,Front catalog pose with both hands in pockets.,0,0,0,0,CAMERA,EVEN,BENT_POCKET,BENT_POCKET,IN_POCKET,IN_POCKET,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,15
ML-POSE-CAT-016,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Left Hand in Pocket,Left Pocket,Front catalog pose with left hand in pocket.,0,0,0,0,CAMERA,EVEN,BENT_POCKET,RELAXED_DOWN,IN_POCKET,OPEN_RELAXED,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,16
ML-POSE-CAT-017,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Right Hand in Pocket,Right Pocket,Front catalog pose with right hand in pocket.,0,0,0,0,CAMERA,EVEN,RELAXED_DOWN,BENT_POCKET,OPEN_RELAXED,IN_POCKET,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,17
ML-POSE-CAT-018,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Left Hand on Hip,Left Hip,Front catalog pose with left hand on hip.,0,0,0,0,CAMERA,EVEN,BENT_HIP,RELAXED_DOWN,ON_HIP,OPEN_RELAXED,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,18
ML-POSE-CAT-019,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Right Hand on Hip,Right Hip,Front catalog pose with right hand on hip.,0,0,0,0,CAMERA,EVEN,RELAXED_DOWN,BENT_HIP,OPEN_RELAXED,ON_HIP,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,19
ML-POSE-CAT-020,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Both Hands on Hips,Both Hips,Front catalog pose with both hands on hips.,0,0,0,0,CAMERA,EVEN,BENT_HIP,BENT_HIP,ON_HIP,ON_HIP,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,20
ML-POSE-CAT-021,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Arms Crossed,Arms Crossed,Front catalog pose with arms crossed.,0,0,0,0,CAMERA,EVEN,CROSSED,CROSSED,TUCKED,TUCKED,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,HIGH,ML-POSE-CAT-001,ACTIVE,21
ML-POSE-CAT-022,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Hands Clasped Front,Clasped Front,Front catalog pose with hands clasped front.,0,0,0,0,CAMERA,EVEN,BENT_FRONT,BENT_FRONT,CLASPED,CLASPED,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,22
ML-POSE-CAT-023,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Hands Behind Back,Hands Behind,Front catalog pose with hands behind back.,0,0,0,0,CAMERA,EVEN,BEHIND_BACK,BEHIND_BACK,HIDDEN,HIDDEN,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,23
ML-POSE-CAT-024,1.0.0,CORE,CATALOG_STANDING,HAND_POSITION,Front — Left Arm Across Waist,Left Across Waist,Front catalog pose with left arm across waist.,0,0,0,0,CAMERA,EVEN,ACROSS_WAIST,RELAXED_DOWN,RESTING_WAIST,OPEN_RELAXED,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,24
